Продукт,Старая цена,Новая цена,Процент скидки,Время акции
"Напиток газированный ФАНТОЛА Бабл гам, 1л",94. 90,74.99,−21%,с 06 апреля до 12 апреля
"Коктейль МОХИТО клубника газированный 7,2%, 0,45л",93. 70,74.99,−20%,с 06 апреля до 12 апреля
"Мешки для мусора НУЖНЫЕ ВЕЩИ Магнит 35л, 30шт",112. 99,75.70,−33%,с 10 марта до 06 апреля
"Хлебцы ЩЕДРЫЕ, Ржано-пшеничные с кунжутом, 200г",102. 70,76.99,−25%,с 06 апреля до 12 апреля
"Фасоль СЕМЕЙНЫЕ СЕКРЕТЫ, Печеная в аджике, 530г",95. 20,79.99,−16%,с 06 апреля до 12 апреля
"Напиток газированный ХУЧ грейпфрут 7,2%, 0,45л",94. 10,79.99,−15%,с 06 апреля до 12 апреля
"Фасоль СЕМЕЙНЫЕ СЕКРЕТЫ, Печеная в аджике, 530г",95. 20,79.99,−16%,с 06 апреля до 12 апреля
"Напиток газированный ХУЧ грейпфрут 7,2%, 0,45л",94. 10,79.99,−15%,с 06 апреля до 12 апреля
"Кофе CHERIE Natiffee натуральный молотый, 100г",96. 40,79.99,−17%,с 06 апреля до 12 апреля
"Чай черный КЕРТИС, Изабелла Грейп, 20 пакетиков",116. 40,84.99,−27%,с 06 апреля до 12 апреля
"Чай КЕРТИС ФРЕШ МОХИТО, Зеленый, 20 пакетиков",116. 40,84.99,−27%,с 06 апреля до 12 апреля
"Шоколад ВДОХНОВЕНИЕ, 100г",137. 10,84.99,−38%,с 06 апреля до 12 апреля
"Пиво БАЛТИКА 7 светлое Мягкое пастеризованное 4,7%, 0,95л",97. 70,84.99,−13%,с 06 апреля до 12 апреля
"Тарталетки БОНЖУР С ореховой пастой в глазури, 200г",111. 80,84.99,−24%,с 06 апреля до 12 апреля
"Шоколад ВДОХНОВЕНИЕ, Элит, с миндалем, 100г",137. 10,84.99,−38%,с 06 апреля до 12 апреля
"Чай зеленый КЁРТИС, Манго, 20 пирамидок",116. 40,84.99,−27%,с 06 апреля до 12 апреля
"Пиво БАЛТИКА 7 светлое Мягкое пастеризованное 4,7%, 0,95л",97. 70,84.99,−13%,с 06 апреля до 12 апреля
"Чай черный КЕРТИС, Изабелла Грейп, 20 пакетиков",113. 00,86.99,−23%,с 06 апреля до 12 апреля
"Чай КЕРТИС ФРЕШ МОХИТО, Зеленый, 20пакетиков",111. 50,86.99,−22%,с 06 апреля до 12 апреля
"Конфеты LUCKY DAYS® Трюфель классический, 200г",121. 60,89.99,−26%,с 06 апреля до 12 апреля
"Кофе НЕСКАФЕ Классик растворимый, 60г",109. 70,89.99,−11%,с 06 апреля до 12 апреля
"Масло подсолнечное БЛАГО, нерафинированное, 0,65л",116. 90,89.99,−21%,с 06 апреля до 12 апреля
Клипсы для подвязки растений 12шт,109. 99,89.99,−18%,с 10 марта до 06 апреля
Эликсир для орхидей Экстра цветение 2*10 мл,119. 99,89.99,−25%,с 10 марта до 06 апреля
"Паштет PREMIERE OF TASTE из гусиной печени, 85г",109. 70,89.99,−18%,с 06 апреля до 12 апреля
"Конфеты LUCKY DAYS® Трюфель классический, 200г",121. 60,89.99,−26%,с 06 апреля до 12 апреля
"Мороженое РОССИЙСКОЕ, 14%, в молочном шоколаде (Чистая линия), 80г",141. 20,95.99,−32%,с 06 апреля до 12 апреля
"Мороженое РОССИЙСКОЕ, 14%, в молочном шоколаде (Чистая линия), 80г",131. 50,95.99,−27%,с 06 апреля до 12 апреля
"Мёд горный МАГНИТ, 250г",120. 40,99.90,−17%,с 06 апреля до 12 апреля
"Газированный напиток ЧЕРНОГОЛОВКА, Байкал, 2л",117. 60,99.99,−15%,с 06 апреля до 12 апреля
"Напиток энергетический БЁРН яблоко-киви, 449мл",129. 90,99.99,−23%,с 06 апреля до 12 апреля
"Напиток энергетический БЕРН дарк, 449мл",131. 60,99.99,−24%,с 06 апреля до 12 апреля
"Напиток энергетический БЁРН оригинальный, 449мл",129. 90,99.99,−23%,с 06 апреля до 12 апреля
"Лимонад НАПИТКИ ИЗ ЧЕРНОГОЛОВКИ, Буратино, 2л",117. 60,99.99,−15%,с 06 апреля до 12 апреля
"Напиток энергетический БЕРН дарк, 449мл",129. 90,99.99,−23%,с 06 апреля до 12 апреля
"Контейнер ПРЕМИУМ прямоугольный для СВЧ, 2,4л",149. 99,99.99,−33%,с 10 марта до 06 апреля
"Напиток газированный ЧЕРНОГОЛОВКА, Тархун, 2л",116. 30,99.99,−15%,с 06 апреля до 12 апреля
"Напиток газированный ЧЕРНОГОЛОВКА, Тархун, 2л",117. 60,99.99,−15%,с 06 апреля до 12 апреля
"Корзинка универсальная СКАНДИ, 3,1л",124. 99,99.99,−20%,с 10 марта до 06 апреля
"Вода питьевая СВЯТОЙ ИСТОЧНИК, негазированная, 5л",114. 90,99.99,−13%,с 06 апреля до 12 апреля
"Kорм для кошек ФРИСКИС, сухой, мясо-курица-овощи, 400г",114. 90,99.99,−13%,с 06 апреля до 12 апреля
"Напиток энергетический БЕРН персик-манго без сахара, 449мл",129. 90,99.99,−23%,с 06 апреля до 12 апреля
"Газированный напиток ЧЕРНОГОЛОВКА, Крюшон, 2л",117. 60,99.99,−15%,с 06 апреля до 12 апреля
"Kорм для кошек ФРИСКИС, сухой, мясо-курица-овощи, 400г",114. 90,99.99,−13%,с 06 апреля до 12 апреля
"Газированный напиток ЧЕРНОГОЛОВКА, Байкал, 2л",117. 60,99.99,−15%,с 06 апреля до 12 апреля
"Напиток газированный ЧЕРНОГОЛОВКА, Дюшес, 2л",117. 60,99.99,−15%,с 06 апреля до 12 апреля
"Напиток газированный ЧЕРНОГОЛОВКА, Дюшес, 2л",117. 60,99.99,−15%,с 06 апреля до 12 апреля
"Напиток энергетический БЕРН персик-манго без сахара, 449мл",131. 60,99.99,−24%,с 06 апреля до 12 апреля
"Газированный напиток ЧЕРНОГОЛОВКА, Саяны, 2л",117. 60,99.99,−15%,с 06 апреля до 12 апреля
"Напиток энергетический БЁРН яблоко-киви, 449мл",131. 60,99.99,−24%,с 06 апреля до 12 апреля
"Напиток энергетический БЁРН тропический микс, 449мл",129. 90,99.99,−23%,с 06 апреля до 12 апреля
"Напиток энергетический БЁРН оригинальный, 449мл",131. 60,99.99,−24%,с 06 апреля до 12 апреля
"Палочки крабовые СЕВЕРНАЯ ГАВАНЬ снежный краб охлажденные, 200г",129. 90,99.99,−20%,с 06 апреля до 12 апреля
"Газированный напиток ЧЕРНОГОЛОВКА, Саяны, 2л",117. 60,99.99,−15%,с 06 апреля до 12 апреля
"Газ, для портативных газовых приборов, 400 мл",129. 99,99.99,−23%,с 10 марта до 06 апреля
"Kорм для кошек ФРИСКИС, для домашних, сухой, курица и садовая зелень, 300г",114. 90,99.99,−13%,с 06 апреля до 12 апреля
"Kорм для кошек ФРИСКИС, сухой, для стерилизованных, кролик-овощи, 300г",114. 90,99.99,−13%,с 06 апреля до 12 апреля
"Лимонад НАПИТКИ ИЗ ЧЕРНОГОЛОВКИ, Буратино, 2л",117. 60,99.99,−15%,с 06 апреля до 12 апреля
"Салфетка для пола ФРЕКЕН БОК, Твист, белая",139. 99,104.99,−25%,с 10 марта до 06 апреля
"Пиво ЖАТЕЦКИЙ ГУСЬ, светлое фильтрованное пастеризованное, 4,6%, 1,35л",141. 90,104.99,−26%,с 06 апреля до 12 апреля
"Пиво ЖАТЕЦКИЙ ГУСЬ, светлое фильтрованное пастеризованное, 4,6%, 1,35л",141. 90,104.99,−26%,с 06 апреля до 12 апреля
"Мешки для мусора НУЖНЫЕ ВЕЩИ Магнит, 160л, 10шт.",162. 99,109.20,−33%,с 10 марта до 06 апреля
"Восточные сладости ВКУСНОТЕЕВЪ Хворост, 300г",137. 50,109.99,−20%,с 06 апреля до 12 апреля
"Зефир СЕМЕЙНЫЕ СЕКРЕТЫ Антоновка, 250г",135. 80,109.99,−19%,с 06 апреля до 12 апреля
"Рис НАЦИОНАЛЬ, Адриатика, 900г",132. 50,109.99,−17%,с 06 апреля до 12 апреля
"РИЕТ ИЗ ЛОСОСЯ с мягким творогом (Меридиан), 100г",150. 70,109.99,−21%,с 06 апреля до 12 апреля
"Чистящее средство BREF®, Лимонная свежесть, 50г",193. 00,109.99,−43%,с 06 апреля до 12 апреля
"Конфеты РОДНЫЕ ПРОСТОРЫ, с вафельной крошкой, 125г",234. 00,109.99,−53%,с 06 апреля до 12 апреля
"Рис НАЦИОНАЛЬ, Адриатика, 900г",125. 00,109.99,−17%,с 06 апреля до 12 апреля
"Зефир СЕМЕЙНЫЕ СЕКРЕТЫ Антоновка, 250г",135. 80,109.99,−19%,с 06 апреля до 12 апреля
"Филе сельди МАТИАС, Оригинал (Санта Бремор), 250г",171. 90,109.99,−36%,с 06 апреля до 12 апреля
"Сардина иваси ДОБРОФЛОТ, Тихоокеанская, 245г",150. 00,119.99,−20%,с 06 апреля до 12 апреля
"Нож АПОЛЛО, Дженио, Вертекс, для овощей, 10см",164. 99,119.99,−27%,с 10 марта до 06 апреля
Брашинг Браун вентиляционный 35Д арт.СМ6811,164. 50,119.99,−27%,с 10 марта до 06 апреля
Салфетка впитывающая микрофибра VILEDA 1шт,149. 99,119.99,−20%,с 10 марта до 06 апреля
"Сыр МОЦАРЕЛЛА ГАЛЬБАНИ, 45%, 125г",164. 40,119.99,−27%,с 06 апреля до 12 апреля
"Закуска венгерская ДЯДЯ ВАНЯ, 460г",168. 90,124.99,−26%,с 06 апреля до 12 апреля
"Сливки ТД СМЕТАНИН. 20%, 500мл",140. 00,125.99,−10%,с 06 апреля до 12 апреля
"Огурцы МАГНИТ соленые, 680г",149. 40,129.99,−13%,с 06 апреля до 12 апреля
"Колготки детские БОЛЬШАЯ СЕМЬЯ, для мальчиков, демисезонные, р. 92-110, арт. 676",169. 99,129.99,−24%,с 10 марта до 06 апреля
"Колготки женские КОНТЕ, нюанс, бежевые, 20 Д, р. 2",169. 00,129.99,−23%,с 10 марта до 06 апреля
"Наггетсы ЗОЛОТОЙ ПЕТУШОК, традиционные, 300г",191. 20,129.99,−31%,с 06 апреля до 12 апреля
"Таблетки для унитаза BREF®, Актив Гигиена, 2 шт",194. 00,129.99,−33%,с 06 апреля до 12 апреля
"Блок туалетный BREF®, Синяя вода, 50г",224. 10,129.99,−42%,с 06 апреля до 12 апреля
"Огурцы МАГНИТ соленые, 680г",149. 40,129.99,−13%,с 06 апреля до 12 апреля
"Наггетсы ЗОЛОТОЙ ПЕТУШОК, традиционные, 300г",188. 40,129.99,−31%,с 06 апреля до 12 апреля
"Нож универсальный APOLLO, Genio Vertex, Аполло Дженио Вертекс, 12,5см",179. 99,129.99,−28%,с 10 марта до 06 апреля
"Ставридка ФЛОТСКАЯ, Соленая, сушеная, 80г",170. 90,134.99,−21%,с 06 апреля до 12 апреля
"Сыр Брест-литовский САВУШКИН, 45 %, 200 г",182. 00,134.99,−26%,с 06 апреля до 12 апреля
"Сыр Брест-литовский САВУШКИН, 45 %, 200 г",182. 00,134.99,−26%,с 06 апреля до 12 апреля
"Кондиционер для белья VERNEL®, Свежий бриз, 910мл",245. 60,139.99,−43%,с 06 апреля до 12 апреля
"Колготки ИННАМОРЕ Белла, бежевые, 20Д, р-р3",189. 00,139.99,−26%,с 10 марта до 06 апреля
"Кондиционер для белья VERNEL®, Гибискус и масло розы, 910мл",245. 60,139.99,−43%,с 06 апреля до 12 апреля
"Кондиционер для белья VERNEL®, Детский, 910мл",245. 60,139.99,−43%,с 06 апреля до 12 апреля
"Колготки ИННАМОРЕ Белла, черные, 20Д, р-р2",189. 00,139.99,−26%,с 10 марта до 06 апреля
"Перец маринованный ДЯДЯ ВАНЯ, Чили, целый, 340г",170. 70,139.99,−18%,с 06 апреля до 12 апреля
"Колготки ИННАМОРЕ Белла, черные, 20Д, р-р3",189. 00,139.99,−26%,с 10 марта до 06 апреля
"Маслины ИБЕРИКА, крупные с косточкой, 360г",170. 70,139.99,−18%,с 06 апреля до 12 апреля
"Кондиционер для белья VERNEL®, Свежий бриз, 910мл",237. 30,139.99,−37%,с 06 апреля до 12 апреля
"Кондиционер для белья VERNEL®, Гибискус и масло розы, 910мл",237. 30,139.99,−37%,с 06 апреля до 12 апреля
"Маслины ИБЕРИКА, крупные с косточкой, 360г",170. 70,139.99,−18%,с 06 апреля до 12 апреля
"Колготки ИННАМОРЕ Белла, бежевые, 20Д, р-р4,5",189. 00,139.99,−26%,с 10 марта до 06 апреля
"Масло сладкосливочное БРЕСТ-ЛИТОВСК 72,5%, 180г",205. 90,139.99,−32%,с 06 апреля до 12 апреля
"Колготки ИННАМОРЕ Белла, черные, 20Д, р-р4,5",189. 00,139.99,−26%,с 10 марта до 06 апреля
"Маслины ИБЕРИКА, без косточки, 360г",170. 70,139.99,−18%,с 06 апреля до 12 апреля
Расческа массажная узкая арт. СМ6850,189. 00,139.99,−26%,с 10 марта до 06 апреля
"Маслины ИБЕРИКА, без косточки, 360г",170. 70,139.99,−18%,с 06 апреля до 12 апреля
"Колготки ИННАМОРЕ Белла, бежевые, 20Д, р-р2",189. 00,139.99,−26%,с 10 марта до 06 апреля
"Варенье ВОЛОГОДСКОЕ ВАРЕНЬЕ клубничное, 370г",179. 50,148.99,−17%,с 06 апреля до 12 апреля
"Шпроты КАПИТАН ВКУСОВ, в масле, 250г",194. 80,149.99,−23%,с 06 апреля до 12 апреля
"Гель для чистки унитаза BREF®, Тотал Блеск, лимон, 700мл",217. 40,149.99,−31%,с 06 апреля до 12 апреля
"Шпроты КАПИТАН ВКУСОВ, в масле, 250г",194. 80,149.99,−23%,с 06 апреля до 12 апреля
"Паста томатная ПОМИДОРКА, 380г",189. 90,149.99,−21%,с 06 апреля до 12 апреля
"Гель для чистки унитаза BREF®, Тотал, Блеск цветов, 700мл",217. 40,149.99,−31%,с 06 апреля до 12 апреля
Фертика Удобрение универсал гранулы 1кг,199. 99,149.99,−25%,с 10 марта до 06 апреля
"Паста томатная ПОМИДОРКА, 380г",189. 90,149.99,−21%,с 06 апреля до 12 апреля
"ГОВЯДИНА ТУШЕНАЯ, высший сорт (Курганский МК), 338г",190. 50,159.99,−16%,с 06 апреля до 12 апреля
"Оленина СТАНДАРТ тушеная особая (Курганский), 338г",200. 00,159.99,−20%,с 06 апреля до 12 апреля
"Скумбрия БАЛТИЙСКИЙ БЕРЕГ, Атлантическая, холодного копчения, 280г",274. 20,169.99,−35%,с 06 апреля до 12 апреля
"Игрушка ПИКАП, 8см",219. 99,169.99,−23%,с 10 марта до 06 апреля
"Сосиски СЛИВОЧНЫЕ, ГОСТ (Великолукский МК), 650г",354. 10,169.99,−48%,с 06 апреля до 12 апреля
"Плодовая продукция ГРАНАТОВАЯ, красное, полусладкое, 0,75 л",209. 00,179.99,−14%,с 06 апреля до 12 апреля
"Готовый завтрак НЕСКВИК ДУО, 375г",250. 00,179.99,−28%,с 06 апреля до 12 апреля
"Средство чистящее для посудомоечных машин SOMAT®, Интенсив, 250мл",285. 70,179.99,−37%,с 06 апреля до 12 апреля
"Плодовая продукция ГРАНАТОВАЯ, красное, полусладкое, 0,75 л",209. 30,179.99,−14%,с 06 апреля до 12 апреля
"Колготки женские ИНКАНТО, Космо 40 ден Черные, р. 5",229. 00,179.99,−21%,с 10 марта до 06 апреля
"Соль для посудомоечных машин SOMAT®, 1,5кг",272. 70,179.99,−34%,с 06 апреля до 12 апреля
"Колготки женские ИНКАНТО, Космо 40 ден Бежевые, р. 5",229. 00,179.99,−21%,с 10 марта до 06 апреля
"Колготки женские ИНКАНТО Космо 40 ден Бежевые, р. 3",229. 00,179.99,−21%,с 10 марта до 06 апреля
"Колготки женские ИНКАНТО, Космо 40 ден Черные, р. 3",229. 00,179.99,−21%,с 10 марта до 06 апреля
"Колготки женские ИНКАНТО, Космо 40 ден Бежевые, р. 4",229. 00,179.99,−21%,с 10 марта до 06 апреля
"Колготки женские ИНКАНТО, Космо 40 ден Черные, р. 4",229. 00,179.99,−21%,с 10 марта до 06 апреля
"Колготки КОНТЕ, Актив, 40 ден, черные, 4",239. 00,189.99,−21%,с 10 марта до 06 апреля
"Колготки КОНТЕ, Актив, 40 ден, бежевые, 2",239. 00,189.99,−21%,с 10 марта до 06 апреля
"Готовый завтрак НЕСКВИК, Алфавит, 375г",260. 30,189.99,−27%,с 06 апреля до 12 апреля
"Колготки КОНТЕ, Актив, 40 ден, бежевые, 3",239. 00,189.99,−21%,с 10 марта до 06 апреля
"Чай черный ЛИПТОН, Йеллоу Лэйбл, 100 пакетиков",287. 90,189.99,−34%,с 06 апреля до 12 апреля
"Колготки КОНТЕ, Актив, 40 ден, бежевые, 4",239. 00,189.99,−21%,с 10 марта до 06 апреля
"Колготки КОНТЕ, Актив, 40 ден, черные, 3",239. 00,189.99,−21%,с 10 марта до 06 апреля
"Чай черный ЛИПТОН, Йеллоу Лэйбл, 100 пакетиков",275. 30,189.99,−31%,с 06 апреля до 12 апреля
"Готовый завтрак НЕСКВИК, Алфавит, 375г",260. 30,189.99,−27%,с 06 апреля до 12 апреля
Трусы женские черные арт.19SLG14 S-XL,299. 99,199.99,−33%,с 10 марта до 06 апреля
"Нож АПОЛЛО Дженио Вертекс для мяса, 18,5см",279. 99,199.99,−29%,с 10 марта до 06 апреля
"Капсулы для стирки PERSIL®, колор, 10шт.",322. 60,199.99,−22%,с 06 апреля до 12 апреля
"Кофе МИЛАГРО Голд Роаст растворимый сублимированный средней обжарки, 95г",363. 60,199.99,−42%,с 06 апреля до 12 апреля
"Контейнер для хранения с вкладышем, 6,5л",259. 99,199.99,−23%,с 10 марта до 06 апреля
"Салфетки ФРЕКЕН БОК, в рулоне, 25x30см, 60листов",289. 99,224.99,−22%,с 10 марта до 06 апреля
"Нож АРОЛЛО Дженио Вертекс кухонный, 18,5см",319. 99,229.99,−28%,с 10 марта до 06 апреля
"Капсулы для стирки LOSK® Дуо-капс Колор, 12шт.",433. 90,229.99,−40%,с 06 апреля до 12 апреля
"Морской микс МЕРИДИАН, в масле, 430г",387. 10,239.99,−34%,с 06 апреля до 12 апреля
"Капсулы для стирки LOSK® Дуо-капс Колор, 12шт.",421. 00,239.99,−43%,с 06 апреля до 12 апреля
"Капсулы для стирки LOSK® Дуо-капс Горное озеро, 12шт.",421. 00,239.99,−43%,с 06 апреля до 12 апреля
Игрушка Динозавр,319. 99,249.99,−22%,с 10 марта до 06 апреля
"Чай черный РИЧАРД, Роял Инглиш Бреакфаст, 100 пакетиков",362. 30,249.99,−31%,с 06 апреля до 12 апреля
"Кофе НЕСКАФЕ Классик растворимый, 190г",304. 90,249.99,−18%,с 06 апреля до 12 апреля
"Чай черный РИЧАРД, Роял Инглиш Бреакфаст, 100 пакетиков",373. 10,249.99,−33%,с 06 апреля до 12 апреля
"Кофе НЕСКАФЕ Классик растворимый, 190г",403. 20,249.99,−38%,с 06 апреля до 12 апреля
"Порошок стиральный LOSK® автомат Колор Актив Зим, 2,7кг",472. 70,259.99,−45%,с 06 апреля до 12 апреля
"Модуль сменный АКВАФОР, фильтрующий, В6",325. 00,259.99,−20%,с 10 марта до 06 апреля
"Гель для унитаза BREF®, Волна свежести, 360мл",385. 70,269.99,−30%,с 06 апреля до 12 апреля
"Ополаскиватель SOMAT®, для посудомоечных машин, 750мл",444. 40,279.99,−37%,с 06 апреля до 12 апреля
"Средство чистящее для полудомоечных машин SOMAT®, Машин клинер, 3шт.x20г",444. 40,279.99,−37%,с 06 апреля до 12 апреля
"Водка ГРАФ ЛЕДОФФ, Лайт гуала, 40%, 0,5л",356. 80,289.00,−19%,с 06 апреля до 12 апреля
"Водка особая GRAF LEDOFF Lemon 40% 0,5л(Татспиртпром):20",356. 80,289.00,−19%,с 06 апреля до 12 апреля
"Контейнер для мусора, 14 л, (Полимербыт)",369. 99,289.99,−22%,с 10 марта до 06 апреля
"Водка особая GRAF LEDOFF Lemon 40% 0,5л(Татспиртпром):20",358. 00,289.99,−19%,с 06 апреля до 12 апреля
"Настойка горькая БУЛЬБАШЪ Медовая с перцем 37% (Беларусь), 0,5л",348. 20,295.99,−15%,с 06 апреля до 12 апреля
"Настойка горькая БУЛЬБАШЪ Зубровая, 37 %, 0,5 л",348. 20,295.99,−15%,с 06 апреля до 12 апреля
"Настойка горькая БУЛЬБАШЪ Журавінавая, 37 %, 0,5 л",348. 20,295.99,−15%,с 06 апреля до 12 апреля
"Настойка горькая ХАСКИ Ягодный микс, 40%, 0,5л",398. 70,299.00,−25%,с 06 апреля до 12 апреля
"Водка ХАСКИ Арктик Айс 40%, 0,5л",439. 70,299.00,−32%,с 06 апреля до 12 апреля
"Настойка горькая СИББИТТЕР, Сибирское разнотравье, 38%, 0,5л",398. 70,299.00,−25%,с 06 апреля до 12 апреля
"Водка ТАЛКА Сибирский Кедр особая 40%, 0,5л",369. 10,299.00,−19%,с 06 апреля до 12 апреля
"Средство чистящее BREF® Тотал анти-налёт Лимонная свежесть, 500мл",361. 40,299.99,−17%,с 06 апреля до 12 апреля
"Водка ТАЛКА Сибирский Кедр особая 40%, 0,5л",370. 40,299.99,−19%,с 06 апреля до 12 апреля
"Вино СОЛИЕРА Айрен белое сухое (Испания), 0,75л",400. 00,319.99,−20%,с 06 апреля до 12 апреля
"Стиральный порошок PERSIL®, Свежесть от Вернель, автомат, 3кг",702. 10,329.99,−47%,с 06 апреля до 12 апреля
"Стиральный порошок PERSIL®, Колор, автомат, Свежесть от Вернель, 3кг",702. 10,329.99,−47%,с 06 апреля до 12 апреля
"Порошок стиральный PERSIL®, Сенситив Миндаль, 3кг",702. 10,329.99,−47%,с 06 апреля до 12 апреля
"Гель для стирки PERSIL®, Свежесть от Вернель, 1,46л",629. 60,339.99,−46%,с 06 апреля до 12 апреля
"Гель для стирки PERSIL®, Сенситив, 1,46л",629. 60,339.99,−46%,с 06 апреля до 12 апреля
"Капсулы для стирки PERSIL®, Дуо капс, Свежесть от Вернель, 14шт.",629. 60,339.99,−46%,с 06 апреля до 12 апреля
"Вино игристое ШАТО ТАМАНЬ Белое Тамани белое полусухое, 0,75л",429. 00,349.00,−19%,с 06 апреля до 12 апреля
"Водка БЕЛАЯ БЕРЕЗКА Морозная клюква особая 40%, 0,5л",554. 00,349.00,−37%,с 06 апреля до 12 апреля
"Кофе Д'АРТЭ, ориджинал растворимый, 100г",734. 70,359.99,−50%,с 06 апреля до 12 апреля
"Вино КАХУРИ Цинандали белое сухое (Грузия), 0,75л",469. 90,379.90,−19%,с 06 апреля до 12 апреля
"Порошок стиральный LOSK® автомат Горное Озеро, 2,7кг",469. 90,389.99,−44%,с 06 апреля до 12 апреля
"Опрыскиватель садовый, 2л",499. 99,389.99,−22%,с 10 марта до 06 апреля
"Водка ХОРТИЦЯ Ультра Премиум особая 40% 0,7л",562. 00,399.00,−29%,с 06 апреля до 12 апреля
"Кофе ЯКОБС, Монарх растворимый, 190г",701. 70,399.99,−43%,с 06 апреля до 12 апреля
"Кофе ЯКОБС, Монарх растворимый, 190г",696. 40,399.99,−43%,с 06 апреля до 12 апреля
"Кофе ЛАВАЦЦА, Квалита Оро, молотый, 250г",506. 30,399.99,−21%,с 06 апреля до 12 апреля
"Водка ТАЛКА, 40%, 0,7л",530. 40,419.00,−21%,с 06 апреля до 12 апреля
"Вино Армения, красное, полусладкое, 0,75 л (Армения)",531. 60,419.99,−21%,с 06 апреля до 12 апреля
"Вино Армения, белое, полусладкое, 0,75 л (Армения)",529. 00,429.00,−19%,с 06 апреля до 12 апреля
"Вино СЕНДЕРО Каберне Совиньон красное полусухое (Чили), 0,75л",550. 00,429.00,−22%,с 06 апреля до 12 апреля
"Вино ЛЮСЬЕН РИГИ Бордо АОС белое сухое (Франция), 0,75л",542. 00,439.00,−19%,с 06 апреля до 12 апреля
"Кофе STARBUCKS® Каффе Верона жареный молотый, 200г",671. 60,449.99,−33%,с 06 апреля до 12 апреля
"Вино ALTOPIANO Терре ди Кьети, красное, полусухое, 0,75 л (Италия)",600. 00,449.99,−25%,с 06 апреля до 12 апреля
"Кофе STARBUCKS®, Пайк плэйс роаст, жареный, в зернах 200г",671. 60,449.99,−33%,с 06 апреля до 12 апреля
"Кофе STARBUCKS®, Веранда Бленд, жареный, молотый, 200г",671. 60,449.99,−33%,с 06 апреля до 12 апреля
"Кофе STARBUCKS®, Эспрессо, жареный, в зернах, 200г",671. 60,449.99,−33%,с 06 апреля до 12 апреля
"Вино СЕН МАРТЕН Резерв Совиньон Блан белое сухое (Франция), 0,75л",599. 00,469.90,−22%,с 06 апреля до 12 апреля
"Вино СЕН МАРТЕН Резерв Каберне Совиньон красное сухое (Франция), 0,75л",599. 00,469.90,−22%,с 06 апреля до 12 апреля
"Вино ОСИТАН МИНЕРВУА красное сухое (Франция), 0,75л",610. 40,469.99,−23%,с 06 апреля до 12 апреля
"Вино MERLOT DE TALU, красное, сухое, 0,75 л",652. 80,469.99,−28%,с 06 апреля до 12 апреля
"Вино ОСИТАН ЛАНГЕДОК, красное сухое (Франция), 0,75л",610. 40,469.99,−23%,с 06 апреля до 12 апреля
"Кофе NESCAFE® Голд Бариста молотый арабика, 190г",657. 50,479.99,−27%,с 06 апреля до 12 апреля
"Коньяк ШУСТОФФ, российский, 5-летний, 40%, 0,5л",623. 40,480.00,−23%,с 06 апреля до 12 апреля
"Коньяк ШУСТОФФ, российский, 5-летний, 40%, 0,5л",626. 00,481.99,−23%,с 06 апреля до 12 апреля
"Модная кукла, 29 см",699. 99,499.99,−29%,с 10 марта до 06 апреля
"Вино ДЕ ГРАС РЕЗЕРВА, Совиньон Блан, белое сухое (Чили), 0,75л",675. 70,499.99,−26%,с 06 апреля до 12 апреля
"Водка ВОДКА А, 40 %, 0,5 л",610. 60,519.00,−15%,с 06 апреля до 12 апреля
"Средство для посудомоечных машин SOMAT® Стандарт порошок, 1,5кг",854. 80,529.99,−38%,с 06 апреля до 12 апреля
"Вино PAPO AMARELO Reserva, белое, сухое, 0,75 л",901. 60,549.99,−39%,с 06 апреля до 12 апреля
"Кувшин-водоочиститель АКВАФОР, Престиж, 2,8л",699. 99,549.99,−21%,с 10 марта до 06 апреля
"Вино ВИСТАМАР Резерва Каберне Совиньон красное сухое (Чили), 0,75л",743. 20,549.99,−26%,с 06 апреля до 12 апреля
"Вино ГРАН КАРДИЭЛЬ, Руэда Вердехо, белое сухое (Испания), 0,75л",679. 00,559.00,−18%,с 06 апреля до 12 апреля
Тапочки мужские открытые р-р. 41-46 арт. 13148M-CH-O,749. 00,559.99,−25%,с 10 марта до 06 апреля
"Коврик, фольгированный, 180х60х0,5см",699. 99,559.99,−20%,с 10 марта до 06 апреля
Конструктор Фаст-Фуд в ассортименте,759. 99,569.99,−25%,с 10 марта до 06 апреля
"Кастрюля нержавеющая сталь с силиконовой ручкой, 2л",819. 99,569.99,−30%,с 10 марта до 06 апреля
"Вино игристое ДЖАКОБАЦЦИ 5 розовое брют (Италия), 0,75л",843. 70,599.00,−29%,с 06 апреля до 12 апреля
"Ликер десертный СТАРЕЙШИНА, Хани, 35%, 0,5л",777. 90,599.00,−23%,с 06 апреля до 12 апреля
Весы кухонные СКАРЛЕТТ арт.SC-KS57P16/P14/P21/P30,799. 99,599.99,−25%,с 10 марта до 06 апреля
"Вино GOYE Сира, красное, сухое, 0,75 л",800. 00,599.99,−25%,с 06 апреля до 12 апреля
"Вино GOYE Токай, белое, сухое, 0,75 л",800. 00,599.99,−25%,с 06 апреля до 12 апреля
"Вино ДЕ ГРАС Резерва Пино Нуар красное сухое (Чили), 0,75л",759. 50,599.99,−21%,с 06 апреля до 12 апреля
Кукла Бонни с велосипедом,799. 99,599.99,−25%,с 10 марта до 06 апреля
"Вино РИСЛИНГ ТРАДИСЬОН, белое полусухое (Франция), 0,75л",799. 00,649.00,−19%,с 06 апреля до 12 апреля
